sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status
BK,TEAM-M,2023-03-17,18:30,2023-03-17T11:30:00.000Z,5,POINT,1,5,SCHEDULE
BK,TEAM-M,2023-03-17,19:10,2023-03-17T12:10:00.000Z,5,POINT,23,18,SCHEDULE
BK,TEAM-M,2023-03-20,16:30,2023-03-20T09:30:00.000Z,5,POINT,9,3,SCHEDULE
BK,TEAM-M,2023-03-20,17:10,2023-03-20T10:10:00.000Z,5,POINT,8,11,SCHEDULE
BK,TEAM-M,2023-03-20,17:50,2023-03-20T10:50:00.000Z,5,POINT,18,9,SCHEDULE
BK,TEAM-M,2023-03-20,18:30,2023-03-20T11:30:00.000Z,5,POINT,6,1,SCHEDULE
BK,TEAM-M,2023-03-20,19:10,2023-03-20T12:10:00.000Z,5,POINT,19,4,SCHEDULE
BK,TEAM-M,2023-03-21,16:30,2023-03-21T09:30:00.000Z,5,POINT,13,22,SCHEDULE
BK,TEAM-M,2023-03-21,17:10,2023-03-21T10:10:00.000Z,5,POINT,17,12,SCHEDULE
BK,TEAM-M,2023-03-21,17:50,2023-03-21T10:50:00.000Z,5,POINT,5,15,SCHEDULE
BK,TEAM-M,2023-03-21,18:30,2023-03-21T11:30:00.000Z,5,POINT,19,4,SCHEDULE
BK,TEAM-M,2023-03-21,19:10,2023-03-21T12:10:00.000Z,5,POINT,10,6,SCHEDULE
BK,TEAM-M,2023-03-22,16:30,2023-03-22T09:30:00.000Z,5,POINT,2,1,SCHEDULE
BK,TEAM-M,2023-03-22,17:10,2023-03-22T10:10:00.000Z,5,POINT,7,23,SCHEDULE
BK,TEAM-M,2023-03-22,17:50,2023-03-22T10:50:00.000Z,5,POINT,21,6,SCHEDULE
BK,TEAM-M,2023-03-22,18:30,2023-03-22T11:30:00.000Z,5,POINT,7,5,SCHEDULE
BK,TEAM-M,2023-03-22,19:10,2023-03-22T12:10:00.000Z,5,POINT,18,19,SCHEDULE
BK,TEAM-M,2023-03-23,16:30,2023-03-23T09:30:00.000Z,5,POINT,14,22,SCHEDULE
BK,TEAM-M,2023-03-23,17:10,2023-03-23T10:10:00.000Z,5,POINT,4,5,SCHEDULE
BK,TEAM-M,2023-03-23,17:50,2023-03-23T10:50:00.000Z,5,POINT,18,22,SCHEDULE
BK,TEAM-M,2023-03-23,18:30,2023-03-23T11:30:00.000Z,5,POINT,17,10,SCHEDULE
BK,TEAM-M,2023-03-23,19:10,2023-03-23T12:10:00.000Z,5,POINT,11,15,SCHEDULE
BK,TEAM-M,2023-03-24,16:30,2023-03-24T09:30:00.000Z,5,POINT,1,22,SCHEDULE
BK,TEAM-M,2023-03-24,17:10,2023-03-24T10:10:00.000Z,5,POINT,3,19,SCHEDULE
BK,TEAM-M,2023-03-24,17:50,2023-03-24T10:50:00.000Z,5,POINT,19,1,SCHEDULE
BK,TEAM-M,2023-03-24,18:30,2023-03-24T11:30:00.000Z,5,POINT,22,7,SCHEDULE
BK,TEAM-M,2023-03-24,19:10,2023-03-24T12:10:00.000Z,5,POINT,12,21,SCHEDULE
BK,TEAM-M,2023-03-27,16:30,2023-03-27T09:30:00.000Z,5,POINT,15,8,SCHEDULE
BK,TEAM-M,2023-03-27,17:10,2023-03-27T10:10:00.000Z,5,POINT,3,18,SCHEDULE
BK,TEAM-M,2023-03-27,17:50,2023-03-27T10:50:00.000Z,5,POINT,22,10,SCHEDULE
BK,TEAM-M,2023-03-27,18:30,2023-03-27T11:30:00.000Z,5,POINT,1,4,SCHEDULE
BK,TEAM-M,2023-03-27,19:10,2023-03-27T12:10:00.000Z,5,POINT,18,13,SCHEDULE
BK,TEAM-M,2023-03-28,16:30,2023-03-28T09:30:00.000Z,5,POINT,9,4,SCHEDULE
BK,TEAM-M,2023-03-28,17:10,2023-03-28T10:10:00.000Z,5,POINT,11,7,SCHEDULE
BK,TEAM-M,2023-03-28,17:50,2023-03-28T10:50:00.000Z,5,POINT,6,17,SCHEDULE
BK,TEAM-M,2023-03-28,18:30,2023-03-28T11:30:00.000Z,5,POINT,10,14,SCHEDULE
BK,TEAM-M,2023-03-28,19:10,2023-03-28T12:10:00.000Z,5,POINT,5,2,SCHEDULE
BK,TEAM-M,2023-03-29,16:30,2023-03-29T09:30:00.000Z,5,POINT,13,23,SCHEDULE
BK,TEAM-M,2023-03-29,17:10,2023-03-29T10:10:00.000Z,5,POINT,10,12,SCHEDULE
BK,TEAM-M,2023-03-29,17:50,2023-03-29T10:50:00.000Z,5,POINT,8,5,SCHEDULE
BK,TEAM-M,2023-03-29,18:30,2023-03-29T11:30:00.000Z,5,POINT,4,18,SCHEDULE
BK,TEAM-M,2023-03-29,19:10,2023-03-29T12:10:00.000Z,5,POINT,14,6,SCHEDULE
BK,TEAM-W,2023-03-14,16:30,2023-03-14T09:30:00.000Z,5,POINT,19,21,SCHEDULE
BK,TEAM-W,2023-03-14,17:05,2023-03-14T10:05:00.000Z,5,POINT,8,1,SCHEDULE
BK,TEAM-W,2023-03-14,17:40,2023-03-14T10:40:00.000Z,5,POINT,7,19,SCHEDULE
BK,TEAM-W,2023-03-14,18:15,2023-03-14T11:15:00.000Z,5,POINT,1,11,SCHEDULE
BK,TEAM-W,2023-03-14,18:50,2023-03-14T11:50:00.000Z,5,POINT,6,18,SCHEDULE
BK,TEAM-W,2023-03-14,19:25,2023-03-14T12:25:00.000Z,5,POINT,4,10,SCHEDULE
BK,TEAM-W,2023-03-15,16:30,2023-03-15T09:30:00.000Z,5,POINT,2,19,SCHEDULE
BK,TEAM-W,2023-03-15,17:05,2023-03-15T10:05:00.000Z,5,POINT,9,13,SCHEDULE
BK,TEAM-W,2023-03-15,17:40,2023-03-15T10:40:00.000Z,5,POINT,17,12,SCHEDULE
BK,TEAM-W,2023-03-15,18:15,2023-03-15T11:15:00.000Z,5,POINT,5,14,SCHEDULE
BK,TEAM-W,2023-03-15,18:50,2023-03-15T11:50:00.000Z,5,POINT,15,3,SCHEDULE
BK,TEAM-W,2023-03-15,19:25,2023-03-15T12:25:00.000Z,5,POINT,6,11,SCHEDULE
BK,TEAM-W,2023-03-16,16:30,2023-03-16T09:30:00.000Z,5,POINT,6,19,SCHEDULE
BK,TEAM-W,2023-03-16,17:05,2023-03-16T10:05:00.000Z,5,POINT,8,4,SCHEDULE
BK,TEAM-W,2023-03-16,17:40,2023-03-16T10:40:00.000Z,5,POINT,7,2,SCHEDULE
BK,TEAM-W,2023-03-16,18:15,2023-03-16T11:15:00.000Z,5,POINT,1,15,SCHEDULE
BK,TEAM-W,2023-03-16,18:50,2023-03-16T11:50:00.000Z,5,POINT,21,17,SCHEDULE
