sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status
FS,TEAM-M,2023-03-15,17:30,2023-03-15T10:30:00.000Z,11,POINT,9,21,SCHEDULE
FS,TEAM-M,2023-03-15,17:55,2023-03-15T10:55:00.000Z,11,POINT,1,19,SCHEDULE
FS,TEAM-M,2023-03-15,18:20,2023-03-15T11:20:00.000Z,11,POINT,19,14,SCHEDULE
FS,TEAM-M,2023-03-15,18:45,2023-03-15T11:45:00.000Z,11,POINT,14,22,SCHEDULE
FS,TEAM-M,2023-03-15,19:10,2023-03-15T12:10:00.000Z,11,POINT,5,13,SCHEDULE
FS,TEAM-M,2023-03-15,19:35,2023-03-15T12:35:00.000Z,11,POINT,3,18,SCHEDULE
FS,TEAM-M,2023-03-17,16:15,2023-03-17T09:15:00.000Z,11,POINT,2,17,SCHEDULE
FS,TEAM-M,2023-03-17,16:40,2023-03-17T09:40:00.000Z,11,POINT,8,2,SCHEDULE
FS,TEAM-M,2023-03-17,17:30,2023-03-17T10:30:00.000Z,11,POINT,10,22,SCHEDULE
FS,TEAM-M,2023-03-27,17:30,2023-03-27T10:30:00.000Z,11,POINT,5,21,SCHEDULE
FS,TEAM-M,2023-03-27,17:55,2023-03-27T10:55:00.000Z,11,POINT,4,19,SCHEDULE
FS,TEAM-M,2023-03-27,18:20,2023-03-27T11:20:00.000Z,11,POINT,7,19,SCHEDULE
FS,TEAM-M,2023-03-27,18:45,2023-03-27T11:45:00.000Z,11,POINT,1,22,SCHEDULE
FS,TEAM-M,2023-03-27,19:10,2023-03-27T12:10:00.000Z,11,POINT,7,,SCHEDULE
FS,TEAM-M,2023-03-27,19:35,2023-03-27T12:35:00.000Z,11,POINT,13,,SCHEDULE
FS,TEAM-M,2023-03-27,20:00,2023-03-27T13:00:00.000Z,11,POINT,10,,SCHEDULE
FS,TEAM-M,2023-03-27,20:25,2023-03-27T13:25:00.000Z,11,POINT,12,3,SCHEDULE
FS,TEAM-W,2023-03-14,16:15,2023-03-14T09:15:00.000Z,11,POINT,8,4,SCHEDULE
FS,TEAM-W,2023-03-14,16:40,2023-03-14T09:40:00.000Z,11,POINT,14,2,SCHEDULE
FS,TEAM-W,2023-03-14,17:05,2023-03-14T10:05:00.000Z,11,POINT,3,7,SCHEDULE
FS,TEAM-W,2023-03-14,17:30,2023-03-14T10:30:00.000Z,11,POINT,12,21,SCHEDULE
FS,TEAM-W,2023-03-15,16:15,2023-03-15T09:15:00.000Z,11,POINT,18,9,SCHEDULE
FS,TEAM-W,2023-03-15,16:40,2023-03-15T09:40:00.000Z,11,POINT,17,13,SCHEDULE
FS,TEAM-W,2023-03-15,17:05,2023-03-15T10:05:00.000Z,11,POINT,1,7,SCHEDULE
FS,TEAM-W,2023-03-16,16:15,2023-03-16T09:15:00.000Z,11,POINT,10,14,SCHEDULE
FS,TEAM-W,2023-03-16,16:40,2023-03-16T09:40:00.000Z,11,POINT,8,9,SCHEDULE
FS,TEAM-W,2023-03-16,17:05,2023-03-16T10:05:00.000Z,11,POINT,4,18,SCHEDULE
FS,TEAM-W,2023-03-16,17:30,2023-03-16T10:30:00.000Z,11,POINT,21,17,SCHEDULE
FS,TEAM-W,2023-03-17,17:05,2023-03-17T10:05:00.000Z,11,POINT,12,13,SCHEDULE
FS,TEAM-W,2023-03-27,16:15,2023-03-27T09:15:00.000Z,11,POINT,1,3,SCHEDULE
FS,TEAM-W,2023-03-27,16:40,2023-03-27T09:40:00.000Z,11,POINT,10,2,SCHEDULE
FS,TEAM-W,2023-03-28,16:15,2023-03-28T09:15:00.000Z,11,POINT,8,18,SCHEDULE
FS,TEAM-W,2023-03-28,16:40,2023-03-28T09:40:00.000Z,11,POINT,4,9,SCHEDULE
FS,TEAM-W,2023-03-28,17:05,2023-03-28T10:05:00.000Z,11,POINT,21,13,SCHEDULE
FS,TEAM-W,2023-03-28,17:30,2023-03-28T10:30:00.000Z,11,POINT,12,17,SCHEDULE
