sportCode,sportCategoryCode,type,date,time,start,venueId,status
AH,M-100,FINAL,2023-03-23,17:30,2023-03-23T10:30:00.000Z,2,SCORED
AH,W-100,FINAL,2023-03-23,17:35,2023-03-23T10:35:00.000Z,2,SCORED
AH,M-400,FINAL,2023-03-23,17:40,2023-03-23T10:40:00.000Z,2,SCORED
AH,W-400,FINAL,2023-03-23,17:50,2023-03-23T10:50:00.000Z,2,SCORED
AH,M-1500,FINAL,2023-03-23,17:55,2023-03-23T10:55:00.000Z,2,SCORED
AH,W-1500,FINAL,2023-03-23,18:15,2023-03-23T11:15:00.000Z,2,SCORED
AH,M-4x100,FINAL,2023-03-23,18:40,2023-03-23T11:40:00.000Z,2,SCORED
AH,W-4x100,FINAL,2023-03-23,18:50,2023-03-23T11:50:00.000Z,2,SCORED
AH,M-200,FINAL,2023-03-23,17:30,2023-03-23T10:30:00.000Z,2,SCORED
AH,W-200,FINAL,2023-03-23,17:40,2023-03-23T10:40:00.000Z,2,SCORED
AH,M-800,FINAL,2023-03-24,17:50,2023-03-24T10:50:00.000Z,2,SCORED
AH,W-800,FINAL,2023-03-24,18:00,2023-03-24T11:00:00.000Z,2,SCORED
AH,M-4x400,FINAL,2023-03-24,18:10,2023-03-24T11:10:00.000Z,2,SCORED
AH,W-4x400,FINAL,2023-03-24,18:20,2023-03-24T11:20:00.000Z,2,SCORED
AH,M-MEDLEY,FINAL,2023-03-24,18:30,2023-03-24T11:30:00.000Z,2,SCORED
AH,W-MEDLEY,FINAL,2023-03-24,18:40,2023-03-24T11:40:00.000Z,2,SCORED
AH,MIX-4x100,FINAL,2023-03-24,18:50,2023-03-24T11:50:00.000Z,2,SCORED
AH,MIX-4x400,FINAL,2023-03-24,19:00,2023-03-24T12:00:00.000Z,2,SCORED
