gameId,facultyId,scoreType,value,medal,note
AH-M-100-0001,9,POSITION,1,Gold,
AH-M-100-0001,1,POSITION,2,Silver,
AH-M-100-0001,14,POSITION,3,Bronze,
AH-W-100-0001,19,POSITION,1,Gold,
AH-W-100-0001,7,POSITION,2,Silver,
AH-W-100-0001,3,POSITION,3,Bronze,
AH-M-400-0001,3,POSITION,1,Gold,
AH-M-400-0001,7,POSITION,2,Silver,
AH-M-400-0001,1,POSITION,3,Bronze,
AH-W-400-0001,19,POSITION,1,Gold,
AH-W-400-0001,5,POSITION,2,Silver,
AH-W-400-0001,14,POSITION,3,Bronze,
AH-M-1500-0001,1,POSITION,1,Gold,
AH-M-1500-0001,1,POSITION,2,Silver,
AH-M-1500-0001,19,POSITION,3,Bronze,
AH-W-1500-0001,19,POSITION,1,Gold,
AH-W-1500-0001,6,POSITION,2,Silver,
AH-W-1500-0001,8,POSITION,3,Bronze,
AH-M-4x100-0001,7,POSITION,1,Gold,
AH-M-4x100-0001,22,POSITION,2,Silver,
AH-M-4x100-0001,14,POSITION,3,Bronze,
AH-W-4x100-0001,8,POSITION,1,Gold,
AH-W-4x100-0001,5,POSITION,2,Silver,
AH-W-4x100-0001,3,POSITION,3,Bronze,
AH-M-200-0001,2,POSITION,1,Gold,
AH-M-200-0001,14,POSITION,2,Silver,
AH-M-200-0001,14,POSITION,3,Bronze,
AH-W-200-0001,22,POSITION,1,Gold,
AH-W-200-0001,19,POSITION,2,Silver,
AH-W-200-0001,5,POSITION,3,Bronze,
AH-M-800-0001,1,POSITION,1,Gold,
AH-M-800-0001,3,POSITION,2,Silver,
AH-M-800-0001,1,POSITION,3,Bronze,
AH-W-800-0001,8,POSITION,1,Gold,
AH-W-800-0001,19,POSITION,2,Silver,
AH-W-800-0001,2,POSITION,3,Bronze,
AH-M-4x400-0001,7,POSITION,1,Gold,
AH-M-4x400-0001,19,POSITION,2,Silver,
AH-M-4x400-0001,3,POSITION,3,Bronze,
AH-W-4x400-0001,7,POSITION,1,Gold,
AH-W-4x400-0001,3,POSITION,2,Silver,
AH-W-4x400-0001,6,POSITION,3,Bronze,
AH-M-MEDLEY-0001,14,POSITION,1,Gold,
AH-M-MEDLEY-0001,7,POSITION,2,Silver,
AH-M-MEDLEY-0001,6,POSITION,3,Bronze,
AH-W-MEDLEY-0001,7,POSITION,1,Gold,
AH-W-MEDLEY-0001,18,POSITION,2,Silver,
AH-W-MEDLEY-0001,19,POSITION,3,Bronze,
AH-MIX-4x100-0001,7,POSITION,1,Gold,
AH-MIX-4x100-0001,19,POSITION,2,Silver,
AH-MIX-4x100-0001,2,POSITION,3,Bronze,
AH-MIX-4x400-0001,7,POSITION,1,Gold,
AH-MIX-4x400-0001,19,POSITION,2,Silver,
AH-MIX-4x400-0001,6,POSITION,3,Bronze,
