gameId,facultyId,scoreType,value,medal,note
HB-TEAM-W-0006,8,POINT,0,None,
HB-TEAM-W-0006,9,POINT,1,None,
HB-TEAM-W-0007,11,POINT,6,None,
HB-TEAM-W-0007,19,POINT,9,None,
HB-TEAM-M-0007,21,POINT,6,None,
HB-TEAM-M-0007,22,POINT,3,None,
HB-TEAM-M-0008,19,POINT,15,None,
HB-TEAM-M-0008,12,POINT,5,None,
HB-TEAM-M-0009,18,POINT,0,None,
HB-TEAM-M-0009,7,POINT,1,None,
HB-TEAM-W-0008,7,POINT,8,None,
HB-TEAM-W-0008,21,POINT,7,None,
HB-TEAM-W-0009,9,POINT,5,None,
HB-TEAM-W-0009,19,POINT,11,None,
HB-TEAM-M-0010,5,POINT,8,None,
HB-TEAM-M-0010,10,POINT,5,None,
HB-TEAM-M-0011,21,POINT,11,None,
HB-TEAM-M-0011,19,POINT,13,None,
HB-TEAM-M-0012,7,POINT,19,None,
HB-TEAM-M-0012,5,POINT,11,None,
HB-TEAM-W-0010,21,POINT,11,None,
HB-TEAM-W-0010,9,POINT,9,None,
HB-TEAM-W-0011,7,POINT,14,None,
HB-TEAM-W-0011,19,POINT,16,None,
HB-TEAM-M-0013,21,POINT,9,None,
HB-TEAM-M-0013,5,POINT,8,None,
HB-TEAM-M-0014,19,POINT,14,None,
HB-TEAM-M-0014,7,POINT,13,None,
