gameId,facultyId,scoreType,value,medal,note
FB-TEAM-0016,4,POINT,1,,
FB-TEAM-0016,14,POINT,3,,
FB-TEAM-0017,6,POINT,0,,
FB-TEAM-0017,7,POINT,2,,
FB-TEAM-0018,19,POINT,2,,
FB-TEAM-0018,5,POINT,0,,
FB-TEAM-0019,2,POINT,0,,
FB-TEAM-0019,1,POINT,2,,
FB-TEAM-0020,21,POINT,2,,
FB-TEAM-0020,5,POINT,0,,
FB-TEAM-0021,12,POINT,0,,
FB-TEAM-0021,22,POINT,3,,
FB-TEAM-0022,10,POINT,0,,
FB-TEAM-0022,9,POINT,0,,
FB-TEAM-0023,11,POINT,0,,
FB-TEAM-0023,19,POINT,0,,
FB-TEAM-0024,7,POINT,0,,
FB-TEAM-0024,14,POINT,0,,
FB-TEAM-0025,1,POINT,0,,
FB-TEAM-0025,22,POINT,0,,
FB-TEAM-0026,19,POINT,0,,
FB-TEAM-0027,21,POINT,0,,
