gameId,facultyId,scoreType,value,medal,note
VB-MAN-0041,7,POINT,2,,
VB-MAN-0041,17,POINT,0,,
VB-MAN-0042,2,POINT,2,,
VB-MAN-0042,6,POINT,0,,
VB-MAN-0043,4,POINT,0,,
VB-MAN-0043,19,POINT,2,,
VB-MAN-0044,1,POINT,2,,
VB-MAN-0044,9,POINT,0,,
VB-MAN-0045,7,POINT,2,,
VB-MAN-0045,2,POINT,0,,
VB-MAN-0046,19,POINT,2,,
VB-MAN-0046,1,POINT,0,,
VB-MAN-0047,2,POINT,2,Bronze,
VB-MAN-0047,1,POINT,0,,
VB-MAN-0048,7,POINT,2,Gold,
VB-MAN-0048,19,POINT,0,Silver,
VB-WOMAN-0020,7,POINT,2,,
VB-WOMAN-0020,17,POINT,0,,
VB-WOMAN-0021,2,POINT,2,,
VB-WOMAN-0021,11,POINT,0,,
VB-WOMAN-0022,9,POINT,0,,
VB-WOMAN-0022,18,POINT,2,,
VB-WOMAN-0023,10,POINT,2,,
VB-WOMAN-0023,3,POINT,0,,
VB-WOMAN-0024,15,POINT,0,,
VB-WOMAN-0024,23,POINT,2,,
VB-WOMAN-0025,8,POINT,0,,
VB-WOMAN-0025,17,POINT,2,,
VB-WOMAN-0026,19,POINT,2,,
VB-WOMAN-0026,11,POINT,0,,
VB-WOMAN-0027,21,POINT,2,,
VB-WOMAN-0027,14,POINT,0,,
VB-WOMAN-0028,5,POINT,0,,
VB-WOMAN-0028,6,POINT,2,,
VB-WOMAN-0029,7,POINT,2,,
VB-WOMAN-0029,23,POINT,0,,
VB-WOMAN-0030,18,POINT,0,,
VB-WOMAN-0030,14,POINT,2,,
VB-WOMAN-0031,6,POINT,2,,
VB-WOMAN-0031,12,POINT,0,,
VB-WOMAN-0032,21,POINT,2,,
VB-WOMAN-0032,9,POINT,0,,
VB-WOMAN-0033,8,POINT,0,,
VB-WOMAN-0033,15,POINT,2,,
VB-WOMAN-0034,1,POINT,2,,
VB-WOMAN-0034,18,POINT,0,,
VB-WOMAN-0035,5,POINT,0,,
VB-WOMAN-0035,3,POINT,2,,
VB-WOMAN-0036,10,POINT,2,,
VB-WOMAN-0036,12,POINT,0,,
VB-WOMAN-0037,1,POINT,2,,
VB-WOMAN-0037,2,POINT,0,,
VB-WOMAN-0038,19,POINT,2,,
VB-WOMAN-0038,14,POINT,0,,
VB-WOMAN-0039,7,POINT,2,,
VB-WOMAN-0039,10,POINT,0,,
VB-WOMAN-0040,6,POINT,2,,
VB-WOMAN-0040,23,POINT,0,,
VB-WOMAN-0041,7,POINT,2,,
VB-WOMAN-0041,19,POINT,0,,
VB-WOMAN-0042,1,POINT,2,,
VB-WOMAN-0042,6,POINT,0,,
VB-WOMAN-0043,19,POINT,2,Bronze,
VB-WOMAN-0043,6,POINT,0,,
VB-WOMAN-0044,7,POINT,2,Gold,
VB-WOMAN-0044,1,POINT,0,Silver,
